System*,Property Name,Property Address 1,Property City,Property State*,Property Zip,Units Count,Service Status*,Contract Status*,Property Type*,Risk Status*,Expiration Date,Effective Date,House Misc Code,Sales Stage *,Assigned AE *,In Stage Date,MDU Complex ID,Opportunity Type *,Opportunity Comments,No Sale Outcome *,No Sale Reason *
Chicago City,1000 W. Van Buren,1000 W. Van Buren,Chicago,IL,60607,26,Not Serviced,,Apartment,Not Serviced,,,,,,,427452,,,,
Chicago City,1000 W. Washington Lofts Condominiums,1000 W. Washington Boulevard,Chicago,IL,60607,175,Bulk,Active,Condominium,>24,3/31/2020,3/31/2015,631Q,Completed,"Metsa, Lori",1/29/2015,73828,Renewal,,,
Chicago City,1001 - 1013 1/2 E. 53rd Street Apartments (Hyde Park Realty Portfolio),1001 - 1013 1/2 E. 53rd Street,Chicago,IL,60615,52,Retail,Expired,Apartment,Expired,9/22/2010,9/22/2000,987G,,,,408994,,,,
Chicago City,1001 S. State Street Apartments,1001 S. State,Chicago,IL,60605,397,Not Serviced,,Apartment,Not Serviced,,,,,,,434724,,,,
Chicago City,1001 W. Chicago Avenue Apartments,1001 W. Chicago Ave.,Chicago,IL,60642,363,Not Serviced,,Apartment,Not Serviced,,,,,,,434856,,,,
Chicago City,1001 W. Madison Condominiums,1001 W. Madison Street,Chicago,IL,60607,94,Not Serviced,,Condominium,Not Serviced,,,,No Sale,"Taylor, Bryant",6/23/2014,425701,Win Back,,"Service, No New Agreement",Competitive Price
Chicago City,1003 - 1009 W. Oakdale Avenue Apartments,1003 - 1009 W. Oakdale Avenue,Chicago,IL,60657,12,Retail,Active,Apartment,>24,9/1/2020,9/1/2015,957Q,,,,409685,,,,
Chicago City,1005 S. Racine Apartments,1003 - 1005 S. Racine,Chicago,IL,60607,6,Retail,Active,Apartment,Auto-Renewed,9/20/2016,9/20/2015,175C,,,,218976,,,,
Chicago City,1007 W. 19th Apartments,1007 W. 19th Street,Chicago,IL,60608,5,Retail,Active,Apartment,>24,5/1/2023,5/1/2013,248Z,Completed,"Kung, Theresa",5/14/2013,422485,Renewal,,,
Chicago City,1010 Lake Shore Condominiums,1000-1010 N. Lake Shore Drive,Chicago,IL,60611,184,Bulk,Active,Condominium,>24,6/30/2019,6/30/2014,673E,Completed,"Butler, David",6/24/2014,9994,Renewal,,,
Chicago City,1011 N. Clark Street Apartments (Sabovic Management Portfolio),1011 N. Clark Street,Chicago,IL,60610,77,Retail,Active,Apartment,>24,7/31/2020,7/31/2015,767W,,,,12956,,,,
Chicago City,1011 W. 19th Apartments,1011 W. 19th Street,Chicago,IL,60608,5,Retail,Active,Apartment,>24,5/1/2023,5/1/2013,246Z,Completed,"Kung, Theresa",5/14/2013,422937,Renewal,,,
Chicago City,10-12 W. Chestnut Street Apartments,10-12 W. Chestnut Street,Chicago,IL,60610,8,Retail,,Apartment,No Contract,,,190G,,,,422408,,,,
Chicago City,1015 N. Pulaski Apartments,1015 N. Pulaski Road,Chicago,IL,60651,32,Retail,Active,Apartment,>24,7/1/2023,7/1/2013,608B,Completed,"Cesario, James",7/25/2013,424269,New Build,,,
Chicago City,1016 E. 62nd Street Apartments,1016 E. 62nd Street,Chicago,IL,60637,6,Retail,Active,Apartment,Auto-Renewed,9/23/2016,9/23/2015,,Unassigned,,10/29/2013,10757,Renewal,Working with Andy Goodman of Wolcott Group on portfolio.,,
Chicago City,1016 W. Balmoral Apartments,1016 W. Balmoral,Chicago,IL,60640,80,Retail,Active,Apartment,>24,10/22/2022,10/22/2007,M699,,,,12436,,,,
Chicago City,1016 W. Hollywood Avenue Apartments f/k/a Residential Management Apartments,1016 W. Hollywood Avenue,Chicago,IL,60660,72,Retail,Active,Apartment,>24,3/24/2020,3/24/2015,780W,,,,13078,,,,
Chicago City,1016-18 W. Madison Apartments,1016-18 W. Madison,Chicago,IL,60607,8,Retail,Franchise,Apartment,LOF,,5/29/1998,5015,,,,74362,,,,
Chicago City,1017 - 1019 W. 55th Street Apartments,1017 - 1019 W. 55th Street,Chicago,IL,60629,6,Retail,Active,Apartment,>6<=12,4/11/2016,4/11/2001,,,,,369418,,,,
Chicago City,1018 - 1022 E. 54th Street Apartments (Hyde Park Realty Portfolio),1018 - 1022 E. 54th Street,Chicago,IL,60615,9,Retail,Expired,Apartment,Expired,9/22/2010,9/22/2000,987G,,,,409042,,,,
Chicago City,1020 - 1030 E. Hyde Park Boulevard Apartments,1020 - 1030 E. Hyde Park Boulevard,Chicago,IL,60615,30,Retail,,Apartment,No Contract,,,193C,No Sale,"Kung, Theresa",7/2/2013,17131,Renewal,,"Service, No New Agreement",Other...
Chicago City,1021 S STATE ST,1021 S STATE ST,CHICAGO,IL,60605,32,Retail,,Town Homes,No Contract,,,,,,,301645,,,,
Chicago City,1022 N. Damen Apartments,1022 N. Damen,Chicago,IL,60622,14,Retail,Active,Apartment,>24,6/29/2022,6/29/2012,591G,Completed,"Butler, David",6/22/2012,415775,Renewal,We service their properties with no contract. This is part of a 1857 unit portfolio.,,
Chicago City,1023 N. Dearborn Apartments,1023 N. Dearborn Street,Chicago,IL,60610,12,Retail,Active,Apartment,>24,9/29/2026,9/29/2011,270F,Completed,"Butler, David",9/29/2011,407426,Renewal,,,
Chicago City,1024 W. 35th Street Condominiums,1024 W. 35th Street,Chicago,IL,60609,158,Not Serviced,,Condominium,Not Serviced,,,,,,,434865,,,,
Chicago City,1025 W. Hollywood Apartments,1025 W. Hollywood,Chicago,IL,60660,94,Retail,Active,Apartment,>24,6/26/2019,6/26/2007,692Q,,,,13854,,,,
Chicago City,1029-1051 W. North Shore Apartments,1029-1051 W. North Shore Avenue,Chicago,IL,60626,74,Retail,Active,Apartment,>24,9/29/2026,9/29/2011,173Y,Completed,"Butler, David",9/29/2011,9630,Renewal,,,
Chicago City,10320 - 10328 S. Walden Parkway Apartments,10320 - 10328 S. Walden Parkway,Chicago,IL,60643,26,Retail,Active,Apartment,>24,1/31/2026,1/31/2011,765L,Completed,"Butler, David",2/1/2011,405322,Renewal,,,
Chicago City,10339 S. Hale Apartments,10339 S. Hale Street,Chicago,IL,60643,12,Retail,Active,Apartment,>24,1/31/2026,1/31/2011,760L,Completed,"Butler, David",2/1/2011,405330,Renewal,,,
Chicago City,1035 W. Van Buren Street Apartments,1035 W. Van Buren Street,Chicago,IL,60607,325,Not Serviced,,Apartment,Not Serviced,,,,Negotiating,"Esler, Theodore",8/11/2015,228059,New Build,,,
Chicago City,1036 N. Dearborn Street Apartments,1036 N. Dearborn Street,Chicago,IL,60610,160,Retail,,Apartment,No Contract,,,800R,No Sale,"Perry, Kay'elen",7/31/2014,416269,Win Back,,No Right To Service,Competitive Service Offering
Chicago City,1036 N. Winchester Avenue Apartments,1036 N. Winchester Avenue,Chicago,IL,60622,4,Retail,Franchise,Apartment,LOF,,3/27/2000,,,,,74219,,,,
Chicago City,1039 W Lawrence Avenue Apartments,1039 W Lawrence Avenue,Chicago,IL,60640,143,Not Serviced,,Apartment,Not Serviced,,,808S,,,,429642,,,,
Chicago City,1039 W. Newport Apartments,1039 W. Newport,Chicago,IL,60657,3,Retail,Active,Apartment,>24,6/30/2022,6/30/2012,153W,Completed,"Butler, David",6/22/2012,415777,Renewal,We service their properties with no contract. This is part of a 1857 unit portfolio.,,
Chicago City,1040 W. Hollywood Apartments,1040 W. Hollywood,Chicago,IL,60660,94,Retail,Active,Apartment,>24,2/3/2025,2/3/2015,152F,Completed,"Corbin, Denise",1/26/2015,10501,Renewal,,,
Chicago City,1040 W. School Street Apartments (DLG Real Estate Development/Management Portfolio),1040 W. School Street,Chicago,IL,60657,12,Retail,Expired,Apartment,Expired,2/16/2006,2/16/1999,927H,,,,408774,,,,
Chicago City,1041 - 1053 W. Lill Avenue Apartments (Kass Management Services Portfolio),1041 - 1053 W. Lill Avenue,Chicago,IL,60614,18,Retail,Expired,Apartment,Expired,3/15/2006,3/15/1999,946H,No Sale,"Kung, Theresa",7/2/2013,72945,Renewal,Management company cannot sign services agreement for the individually owned properties,"Service, No New Agreement",Other...
Chicago City,10410 - 10412 S. Claremont Avenue Apartments (Hyde Park Realty Portfolio),10410 - 10412 S. Claremont Avenue,Chicago,IL,60643,4,Retail,Expired,Apartment,Expired,9/22/2010,9/22/2000,987G,,,,409027,,,,
Chicago City,1042 N. Leamington Avenue Apartments,1042 N. Leamington Avenue,Chicago,IL,60651,16,Retail,,Apartment,No Contract,,,552,Contract Document Review,"Butler, David",6/19/2015,434829,Renewal,,,
Chicago City,1042 W. George Street Apartments,1042 W. George Street,Chicago,IL,60657,5,Retail,Active,Apartment,>24,6/30/2022,6/30/2012,257E,Completed,"Butler, David",6/22/2012,415778,Renewal,We service their properties with no contract. This is part of a 1857 unit portfolio.,,
Chicago City,1042 W. Newport Avenue Apartments (West Ridge Realty & Management Portfolio),1042 W. Newport Avenue,Chicago,IL,60657,3,Retail,Active,Apartment,Auto-Renewed,1/29/2016,1/29/2011,,,,,413382,,,,
Chicago City,10437 - 10439 S. Hale Street Apartments,10437 - 10439 S. Hale Street,Chicago,IL,60643,11,Retail,Active,Apartment,>24,1/31/2026,1/31/2011,763L,Completed,"Butler, David",2/1/2011,405328,Renewal,,,
Chicago City,10449 - 10451 S. Hale Apartments,10449 - 10451 S. Hale,Chicago,IL,60643,10,Retail,Active,Apartment,>24,1/31/2026,1/31/2011,762L,Completed,"Butler, David",2/1/2011,405332,Renewal,,,
Chicago City,1045 N Sacramento,1045 N Sacramento,Chicago,IL,60622,49,Not Serviced,,Apartment,Not Serviced,,,,Contract Document Review,"Valerio Jr, Gill",6/19/2015,434688,New Build,,,
Chicago City,1047 W 31ST PL,1047 W 31ST PL,CHICAGO,IL,60608,6,Not Serviced,,Condominium,Not Serviced,,,,,,,217841,,,,
Chicago City,1047 W. Belmont Condominiums,1047 W. Belmont Avenue,Chicago,IL,60657,7,Retail,Active,Condominium,Auto-Renewed,1/1/2016,1/1/2015,,,,,12464,,,,
Chicago City,1048-1050 W. Cornelia Apartments,1048-1050 W. Cornelia Avenue,Chicago,IL,60657,4,Retail,Active,Apartment,>24,6/29/2022,6/29/2012,196W,Completed,"Butler, David",6/22/2012,416333,Renewal,We service their properties with no contract. This is part of a 1857 unit portfolio.,,
Chicago City,1049 W. 79th Street Apartments (JWG Construction Portfolio),1049 W. 79th Street,Chicago,IL,60620,20,Retail,Active,Apartment,Auto-Renewed,10/19/2015,10/19/2010,828T,,,,409074,,,,
Chicago City,1049 W. Oakdale Apartments,1049 W. Oakdale,Chicago,IL,60657,45,Not Serviced,,Apartment,Not Serviced,,,,Contact Made,"Esler, Theodore",5/31/2015,416125,Win Back,,,
Chicago City,105 S Central Apartments,105 - 11 S. Central,Chicago,IL,60644,17,Retail,Active,Apartment,Auto-Renewed,3/12/2016,3/12/2015,1308,,,,218320,,,,
Chicago City,1050 W Hubbard Street,1050 W Hubbard Street,Chicago,IL,60622,21,Retail,,Condominium,No Contract,,,522D,,,,287580,,,,
Chicago City,1050 W. Columbia Condominiums,1050 W. Columbia Avenue,Chicago,IL,60626,30,Retail,,Condominium,No Contract,,,654Q,Unassigned,,1/23/2014,72813,Renewal,,,
Chicago City,1050 W. George Street Apartments,1050 W. George Street,Chicago,IL,60657,46,Retail,Active,Apartment,>24,9/29/2026,9/29/2011,773W,Completed,"Butler, David",9/29/2011,407457,Renewal,,,
Chicago City,10511 S. Hale Street Apartments,10511 S. Hale Street,Chicago,IL,60643,12,Retail,Active,Apartment,>24,1/31/2026,1/31/2011,997A,Completed,"Butler, David",2/1/2011,405323,Renewal,,,
Chicago City,10517 Apartments,10517 S. Hale Avenue,Chicago,IL,60643,6,Retail,Active,Apartment,>24,5/30/2022,5/30/2012,179Y,Completed,"Cesario, James",5/31/2012,378049,Renewal,reassigned 4/5,"Service, No New Agreement",
Chicago City,10521-23 Apartments,10521-23 S. Hale Avenue,Chicago,IL,60643,8,Retail,Active,Apartment,>24,5/30/2022,5/30/2012,180Y,Completed,"Cesario, James",5/31/2012,417445,Renewal,reassigned 4/5,"Service, No New Agreement",
Chicago West,1053 S. Austin Boulevard Apartments,1053 S. Austin Boulevard,Chicago,IL,60644,38,Retail,Active,Apartment,No Contract,5/26/2020,5/26/2015,4307,,,,16340,,,,
Chicago City,1055 N. Kingsbury Condominiums,1055 N. Kingsbury,Chicago,IL,60610,102,Not Serviced,,Condominium,Not Serviced,,,,,,,434866,,,,
Chicago City,1055-67 Glenlake Apartments,1055-67 Glenlake & 6035-45 Winthrop,Chicago,IL,60660,43,Retail,Active,Apartment,Auto-Renewed,10/6/2016,10/6/2015,165G,Contract Document Review,"Butler, David",5/19/2015,9571,Renewal,,,
Chicago City,10559 - 10565 S. Hale Street Apartments,10559 - 10565 S. Hale Street,Chicago,IL,60643,18,Retail,Active,Apartment,>24,1/31/2026,1/31/2011,998A,Completed,"Butler, David",2/1/2011,405324,Renewal,,,
Chicago City,1056 N. Marshfield Apartments,1056 N. Marshfield,Chicago,IL,60622,3,Retail,Franchise,Apartment,LOF,,1/8/1998,,,,,74381,,,,
Chicago City,1057 W. Belden Avenue Apartments (Zale Company Portfolio),1057 W. Belden Avenue,Chicago,IL,60614,10,Retail,Expired,Apartment,Expired,11/22/2006,11/22/1999,986G,,,,411667,,,,
Chicago City,1059 - 1069 W. Foster Apartments,1059 - 1069 W. Foster Avenue,Chicago,IL,60640,21,Retail,Active,Apartment,Auto-Renewed,3/4/2017,3/4/2015,395B,,,,9300,,,,
Chicago City,10604 - 10618 S. Walden Parkway Apartments,10604 - 10618 S. Walden Parkway,Chicago,IL,60643,18,Retail,Active,Apartment,>24,1/31/2026,1/31/2011,761L,Completed,"Butler, David",2/1/2011,405329,Renewal,,,
Chicago City,1061 W. Cornelia Avenue Apartments,1061 W. Cornelia Avenue,Chicago,IL,60657,5,Retail,Active,Apartment,>24,6/30/2022,6/30/2012,351V,Completed,"Butler, David",6/22/2012,416334,Renewal,We service their properties with no contract. This is part of a 1857 unit portfolio.,,
Chicago City,1061-1107 W. Van Buren Apartments,1061 W. Van Buren,Chicago,IL,60607,432,Not Serviced,,Apartment,Not Serviced,,,,,,,434854,,,,
Chicago City,1063 W. Columbia Apartments,1063 W. Columbia Avenue,Chicago,IL,60626,41,Retail,Active,Apartment,>0<=6,2/3/2016,2/3/2006,788F,,,,204104,,,,
Chicago City,10736 - 10742 S. Calumet Avenue Apartments (Riccordino Realty Apartments Portfolio),10736 - 10742 S. Calumet Avenue,Chicago,IL,60628,19,Retail,Active,Apartment,>24,10/1/2020,10/1/2015,978H,,,,409792,,,,
Chicago City,10769 S. Pulaski Avenue Apartments,10769 S. Pulaski Avenue,Chicago,IL,60655,7,Retail,Active,Apartment,Auto-Renewed,3/17/2016,3/17/2015,,,,,10166,,,,
Chicago City,108 S. Jefferson Apartments,108 S. Jefferson,Chicago,IL,60661,325,Not Serviced,,Apartment,Not Serviced,,,,No Sale,"Butler, David",10/5/2010,393241,New Build,This is the same developer that built 215 West Washington Apartments.,"Service, No New Agreement",Other...
Chicago City,10908 S. Vernon Apartments,10908 S. Vernon Avenue,Chicago,IL,60628,7,Retail,Active,Apartment,>24,8/31/2021,8/31/2011,905Z,Completed,"Butler, David",8/31/2011,409463,Renewal,This portfolio is over 2500 units and growing.,,
Chicago City,109-113 N Kostner Avenue,109-113 N Kostner Avenue,Chicago,IL,60624,24,Retail,,Condominium,No Contract,,,325D,,,,201384,,,,
Chicago City,110 E. Delaware Condominiums,110 E. Delaware Place,Chicago,IL,60611,66,Not Serviced,,Condominium,Not Serviced,,,7280,,,,9896,,,,
Chicago City,1100 N. Dearborn Street,1100 N. Dearborn Street,Chicago,IL,60610,247,Not Serviced,,Apartment,Not Serviced,,,662E,No Sale,"Hartman, Daniel",9/14/2015,75581,Renewal,,,Other...
Chicago City,1100 N. Lake Shore Drive Condominiums,1100 N. Lake Shore Drive,Chicago,IL,60611,74,Not Serviced,,Condominium,Not Serviced,,,9550,No Sale,"Herreweyers, Joe",8/1/2013,10066,Win Back,6/21 Contract with RCN Expires in September 2013. Currently reneogoiating with RCN. Scheduling survey. The site is loop wired and will not accept rewiring. 8/1 Customer plans to resign with RCN for five years commencing September 2013.,"Service, No New Agreement",Other...
Chicago City,1100 N. LaSalle Apartments,1100 N. LaSalle Drive,Chicago,IL,60610,310,Retail,Active,Apartment,>24,5/15/2025,5/15/2015,775W,Completed,"Corbin, Denise",4/30/2015,194962,Renewal,,,
Chicago City,1100 N. Paulina Apartments,1100 N. Paulina,Chicago,IL,60622,42,Retail,Franchise,Apartment,LOF,,12/8/1998,5001,,,,74316,,,,
Chicago City,1100 W. George Street Apartments (Kass Management Services Portfolio),1100 W. George Street,Chicago,IL,60657,27,Retail,Expired,Apartment,Expired,3/15/2006,3/15/1999,946H,No Sale,"Kung, Theresa",7/2/2013,409220,Renewal,Management company cannot sign services agreement for the individually owned properties,"Service, No New Agreement",Other...
Chicago City,1100 W. Roscoe Apartments,1100 W. Roscoe Street,Chicago,IL,60657,34,Retail,Active,Apartment,>24,9/29/2026,9/29/2011,271F,Completed,"Butler, David",9/29/2011,407347,Renewal,,,
Chicago City,11006 S. Indiana Avenue Apartments (Teninga Bergstrom Realty Portfolio),11006 S. Indiana Avenue,Chicago,IL,60628,5,Retail,Expired,Apartment,Expired,10/17/2010,10/17/2000,972H,,,,411614,,,,
Chicago City,11008-11010 S. Vernon Street Apartments (John Howard Portfolio),11008-11010 S. Vernon Street,Chicago,IL,60628,6,Retail,Active,Apartment,Auto-Renewed,9/19/2016,9/19/2015,938H,,,,423696,,,,
Chicago City,11009-11011 S. Vernon Street Apartments (John Howard Portfolio),11009-11011 S. Vernon Street,Chicago,IL,60628,5,Retail,Active,Apartment,Auto-Renewed,9/19/2016,9/19/2015,938H,,,,423694,,,,
Chicago City,1101 E. Hyde Park Boulevard Apartments,1101 E. Hyde Park Boulevard,Chicago,IL,60615,52,Retail,,Apartment,No Contract,,,,,,,416100,,,,
Chicago City,1101 Grace Apartments,1101 W. Grace Street,Chicago,IL,60613,20,Retail,Active,Apartment,>24,1/12/2020,1/12/2005,803M,,,,178531,,,,
Chicago City,1101 W. Columbia Apartments,1101 W. Columbia Avenue,Chicago,IL,60626,42,Retail,Active,Apartment,>0<=6,2/3/2016,2/3/2006,758X,,,,203993,,,,
Chicago City,1101-13 W. Lawrence Ave.,1101-13 W. Lawrence Ave.,Chicago,IL,60640,22,Retail,,Condominium,No Contract,,,433D,,,,176104,,,,
Chicago City,11015-11017 S. Vernon Street Apartments (John Howard Portfolio),11015-11017 S. Vernon Street,Chicago,IL,60628,5,Retail,Active,Apartment,Auto-Renewed,9/19/2016,9/19/2015,938H,,,,423695,,,,
Chicago City,11020 - 11026 S. Prospect Avenue Apartments,11020 - 11026 S. Prospect Avenue,Chicago,IL,60643,9,Retail,Active,Apartment,Auto-Renewed,6/1/2017,6/1/2012,,,,,17614,,,,
Chicago City,11027 S. King Drive Apartments,11027 S. King Drive,Chicago,IL,60628,27,Retail,Active,Apartment,>0<=6,2/3/2016,2/3/2006,367B,,,,204007,,,,
Chicago City,1103 W. Cornelia Avenue Apartments,1103 W. Cornelia Avenue,Chicago,IL,60657,3,Retail,Active,Apartment,>24,6/30/2022,6/30/2012,578G,Completed,"Butler, David",6/22/2012,416843,Renewal,We service their properties with no contract. This is part of a 1857 unit portfolio.,,
Chicago City,11039-11041 S. Vernon Street Apartments (John Howard Portfolio),11039-11041 S. Vernon Street,Chicago,IL,60628,12,Retail,Active,Apartment,Auto-Renewed,9/19/2016,9/19/2015,938H,,,,17019,,,,
Chicago City,1108 E. 82nd Street Apartments,1108 E. 82nd Street,Chicago,IL,60619,36,Retail,Active,Apartment,>24,3/22/2020,3/22/2010,934H,Contract Document Review,"Valerio Jr, Gill",4/30/2015,12439,Renewal,Pangea -- This property is being renewed in context of a 1600u 25 property+ portfolio,,
Chicago City,1109 - 1115 E. 62nd Street Apartments (Chicago Property Management Portfolio),1109 - 1115 E. 62nd Street,Chicago,IL,60637,19,Retail,Active,Apartment,>24,5/22/2020,5/22/2015,759C,Unassigned,,10/29/2013,408709,Renewal,Working with Andy Goodman of Wolcott Group on portfolio.,,
Chicago City,111 East Chestnut Condominium,111 E. Chestnut Street,Chicago,IL,60611,416,Not Serviced,,Condominium,Not Serviced,,,,No Sale,"Butler, David",7/24/2013,413109,Win Back,,"Service, No New Agreement",Competitive Price
Chicago City,111 S. Peoria Apartments,111 S. Peoria,Chicago,IL,60607,205,Not Serviced,,Apartment,Not Serviced,,,,,,,434870,,,,
Chicago City,1111 N. Dearborn Street Apartments,1111 N. Dearborn Street,Chicago,IL,60610,286,Not Serviced,,Apartment,Not Serviced,,,,Negotiating,"Herreweyers, Joe",6/24/2015,416314,Win Back,,,
Chicago City,1111 South Dearborn Apartments,1111 S. Dearborn,Chicago,IL,,286,Not Serviced,,Apartment,Not Serviced,,,,,,,411867,,,,
Chicago City,1111 South Wabash Condominiums,1111 S. Wabash Avenue,Chicago,IL,60605,247,Not Serviced,,Condominium,Not Serviced,,,,Negotiating,"Valerio Jr, Gill",8/3/2015,409303,Win Back,"As noted previously, c/b in one year!",No Right To Service,Other...
Chicago City,1111 W. Cornelia Condominiums,1111 W. Cornelia,Chicago,IL,60657,20,Not Serviced,,Condominium,Not Serviced,,,9060,,,,9883,,,,
Chicago City,1111 W. Hollywood Apartments (Account Master CSG Billing Name),1111 W. Hollywood,Chicago,IL,60660,57,Retail,,Apartment,No Contract,,,647Z,Contact Made,"Klay, Jim",9/21/2015,10428,Renewal,,,
Chicago City,1111 W. Maddon Apartments,1111 W. Maddon,Chicago,IL,60607,23,Retail,Franchise,Apartment,LOF,,9/12/2000,,,,,257044,,,,
Chicago City,1111 W. Madison Condominiums,1111 W. Madison,Chicago,IL,60607,23,Not Serviced,,Condominium,Not Serviced,,,693Q,Completed,"Neufeld, Richard",3/24/2010,73441,Renewal,,,
Chicago City,11110 S. Homewood Avenue Apartments (Teninga Bergstrom Realty Portfolio),11110 S. Homewood Avenue,Chicago,IL,60643,12,Retail,Expired,Apartment,Expired,10/17/2010,10/17/2000,972H,,,,411602,,,,
Chicago City,11111 S. Vernon Apartments,11111 S. Vernon Avenue,Chicago,IL,60628,46,Retail,Active,Apartment,>24,8/31/2021,8/31/2011,791L,Completed,"Butler, David",8/31/2011,409419,Renewal,This portfolio is over 2500 units and growing.,,
Chicago City,11112 S. Homewood Avenue Apartments (Teninga Bergstrom Realty Portfolio),11112 S. Homewood Avenue,Chicago,IL,60643,12,Retail,Expired,Apartment,Expired,10/17/2010,10/17/2000,972H,,,,411603,,,,
Chicago City,11114 S. Homewood Avenue Apartments (Teninga Bergstrom Realty Portfolio),11114 S. Homewood Avenue,Chicago,IL,60643,12,Retail,Expired,Apartment,Expired,10/17/2010,10/17/2000,972H,,,,411604,,,,
Chicago City,11116 S. Homewood Avenue Apartments (Teninga Bergstrom Realty Portfolio),11116 S. Homewood Avenue,Chicago,IL,60643,12,Retail,Expired,Apartment,Expired,10/17/2010,10/17/2000,972H,,,,411607,,,,
Chicago City,11116 S. Longwood Drive Condominiums,11116 S. Longwood Drive,Chicago,IL,60643,16,Retail,,Condominium,No Contract,,,669Z,Unassigned,,1/23/2014,17522,Renewal,"Letter sent 1/10/13. $37.68, Dig Starter, in auto-renews.",,
Chicago City,11117 - 11139 S. Longwood Drive Apartments (Teninga Bergstrom Realty Portfolio),11117 - 11139 S. Longwood Drive,Chicago,IL,60643,33,Retail,Expired,Apartment,Expired,10/17/2010,10/17/2000,972H,,,,411209,,,,
Chicago City,11118 S. Homewood Avenue Apartments (Teninga Bergstrom Realty Portfolio),11118 S. Homewood Avenue,Chicago,IL,60643,12,Retail,Expired,Apartment,Expired,10/17/2010,10/17/2000,972H,,,,411609,,,,
Chicago City,1115 E. 81st Street Apartments,1115 - 1129 E. 81st Street,Chicago,IL,60619,39,Retail,Active,Apartment,>24,12/20/2025,12/20/2010,931A,,,,393514,,,,
Chicago City,1117 N. Lawler Avenue Apartments,1117 N. Lawler Avenue,Chicago,IL,60651,12,Retail,,Apartment,No Contract,,,495,Contract Document Review,"Butler, David",6/19/2015,434848,Renewal,,,
Chicago City,1118 - 1128 E. Hyde Park Boulevard Condominiums,1118 - 1128 E. Hyde Park Boulevard,Chicago,IL,60615,38,Retail,Active,Condominium,>24,8/16/2021,8/16/2006,842N,,,,15609,,,,
Chicago City,1120 - 1134 W. Pratt Apartments,1120 - 1134 W. Pratt,Chicago,IL,60626,58,Retail,Active,Apartment,Auto-Renewed,3/15/2016,3/15/2015,953D,No Sale,"Bates, Steve",2/17/2011,75471,Renewal,Spoke w/ asst. mgr. Owner not interested. 8/27/10: Owner info. located. Contacting.,"Service, No New Agreement",Other...
Chicago City,1120 - 1140 E. 82nd Street Apartments,1120 - 1140 E. 82nd Street,Chicago,IL,60619,31,Retail,Active,Apartment,>24,6/24/2019,6/24/2004,923C,,,,99926,,,,
